gid,state,nome,WIKIDATA,MS_FB_PARE,MS_FB
127,52,Goiás,Q53657949,country:br,country:br/chamber-ed:go
87,35,São Paulo,Q53657905,country:br,country:br/chamber-ed:sp
47,26,Pernambuco,Q53657928,country:br,country:br/chamber-ed:pe
3,12,Acre,Q53658012,country:br,country:br/chamber-ed:ac
5,13,Amazonas,Q53657951,country:br,country:br/chamber-ed:am
23,21,Maranhão,Q53657947,country:br,country:br/chamber-ed:ma
11,15,Pará,Q53657933,country:br,country:br/chamber-ed:pa
1,11,Rondônia,Q53657996,country:br,country:br/chamber-ed:ro
20,17,Tocantins,Q53658009,country:br,country:br/chamber-ed:to
133,53,Federal District,Q53657987,country:br,country:br/chamber-ed:df
119,50,Mato Grosso do Sul,Q53657991,country:br,country:br/chamber-ed:ms
65,31,Minas Gerais,Q53657908,country:br,country:br/chamber-ed:mg
122,51,Mato Grosso,Q53657973,country:br,country:br/chamber-ed:mt
111,43,Rio Grande do Sul,Q53657915,country:br,country:br/chamber-ed:rs
98,41,Paraná,Q53657926,country:br,country:br/chamber-ed:pr
104,42,Santa Catarina,Q53657942,country:br,country:br/chamber-ed:sc
34,23,Ceará,Q53657931,country:br,country:br/chamber-ed:ce
28,22,Piauí,Q53657981,country:br,country:br/chamber-ed:pi
51,27,Alagoas,Q53657970,country:br,country:br/chamber-ed:al
55,29,Bahia,Q53657913,country:br,country:br/chamber-ed:ba
78,32,Espírito Santo,Q53657964,country:br,country:br/chamber-ed:es
43,25,Paraíba,Q53657953,country:br,country:br/chamber-ed:pb
82,33,Rio de Janeiro,Q53657911,country:br,country:br/chamber-ed:rj
40,24,Rio Grande do Norte,Q53657968,country:br,country:br/chamber-ed:rn
53,28,Sergipe,Q53657993,country:br,country:br/chamber-ed:se
9,14,Roraima,Q53658017,country:br,country:br/chamber-ed:rr
18,16,Amapá,Q53658014,country:br,country:br/chamber-ed:ap
