gid,state,nome,WIKIDATA,ISO 3166-2 code,MS_FB,MS_FB_PARE
127,52,Goiás,Q41587,BR-GO,country:br/fed:go,country:br
87,35,São Paulo,Q175,BR-SP,country:br/fed:sp,country:br
47,26,Pernambuco,Q40942,BR-PE,country:br/fed:pe,country:br
3,12,Acre,Q40780,BR-AC,country:br/fed:ac,country:br
5,13,Amazonas,Q40040,BR-AM,country:br/fed:am,country:br
23,21,Maranhão,Q42362,BR-MA,country:br/fed:ma,country:br
11,15,Pará,Q39517,BR-PA,country:br/fed:pa,country:br
1,11,Rondônia,Q43235,BR-RO,country:br/fed:ro,country:br
20,17,Tocantins,Q43695,BR-TO,country:br/fed:to,country:br
133,53,Federal District,Q119158,BR-DF,country:br/fed:df,country:br
119,50,Mato Grosso do Sul,Q43319,BR-MS,country:br/fed:ms,country:br
65,31,Minas Gerais,Q39109,BR-MG,country:br/fed:mg,country:br
122,51,Mato Grosso,Q42824,BR-MT,country:br/fed:mt,country:br
111,43,Rio Grande do Sul,Q40030,BR-RS,country:br/fed:rs,country:br
98,41,Paraná,Q15499,BR-PR,country:br/fed:pr,country:br
104,42,Santa Catarina,Q41115,BR-SC,country:br/fed:sc,country:br
34,23,Ceará,Q40123,BR-CE,country:br/fed:ce,country:br
28,22,Piauí,Q42722,BR-PI,country:br/fed:pi,country:br
51,27,Alagoas,Q40885,BR-AL,country:br/fed:al,country:br
55,29,Bahia,Q40430,BR-BA,country:br/fed:ba,country:br
78,32,Espírito Santo,Q43233,BR-ES,country:br/fed:es,country:br
43,25,Paraíba,Q38088,BR-PB,country:br/fed:pb,country:br
82,33,Rio de Janeiro,Q41428,BR-RJ,country:br/fed:rj,country:br
40,24,Rio Grande do Norte,Q43255,BR-RN,country:br/fed:rn,country:br
53,28,Sergipe,Q43783,BR-SE,country:br/fed:se,country:br
9,14,Roraima,Q42508,BR-RR,country:br/fed:rr,country:br
18,16,Amapá,Q40130,BR-AP,country:br/fed:ap,country:br
